"bookId","title","series","author","rating","description","language","isbn","genres","characters","bookFormat","edition","pages","publisher","publishDate","firstPublishDate","awards","numRatings","ratingsByStars","likedPercent","setting","coverImg","bbeScore","bbeVotes","price"
"2623.Great_Expectations","Great Expectations","","Charles Dickens, Παυλίνα Παμπούδη (Translator), Marisa Sestino (Translator)","3.78","'In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fearful and fearsome convict; Estella, whose beauty is excelled only by her haughtiness; and the embittered Miss Havisham, an eccentric jilted bride","English","9780192833594","['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian']","['Miss Havisham', 'Philip ""Pip"" Pirrip', 'Joseph ""Joe"" Gargery', 'Abel Magwitch', 'Herbert Pocket', 'John Wemmick', 'Dolge Orlick', 'Jaggers', 'Estella', 'Compeyson']","Paperback","Oxford World's Classics","505","Oxford University Press","10/28/98","07/28/61","['Audie Award for Classic (2010)', 'Премія імені Максима Рильського (1993)']","651506","['200286', '218262', '149650', '54551', '28757']","87","[]","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327920219l/2623.jpg","367399","4225",0.85
"1934.Little_Women","Little Women","Little Women #1","Louisa May Alcott","4.09","Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ""girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.","English","9780451529305","['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classic Literature', 'Novels']","['Marmee', 'Meg March', 'Beth March', 'Amy March', 'Laurie Laurence', 'Mr. Laurence', 'Professor Bhaer', 'Mr. March', 'Hannah Brown', 'Aunt March', 'John Brooke', 'Jo March']","Paperback","","449","Signet Classics","04/06/04","09/30/68","[]","1681583","['721282', '541255', '299023', '82023', '38000']","93","['Concord, Massachusetts (United States)', 'Massachusetts (United States)', 'London, England', 'New England (United States)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg","354812","4063",5.51
"6514.The_Bell_Jar","The Bell Jar","","Sylvia Plath","4.01","The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic.","English","9999999999999","['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Mental Illness', 'Literature', 'Novels', 'Poetry', 'Adult']","['Constantin', 'Esther Greenwood', 'Valerie', 'Marco', 'Mrs. Greenwood', 'Buddy Willard', 'Doctor Nolan', 'Joan Gilling', 'Jay Cee', 'Betsy', 'Irwin', 'Doctor Gordon', 'Philomena Guinea', 'Mrs. Willard', 'Lenny Shepherd', 'Dodo Conway', 'Eric', 'Doreen']","Paperback","First Harper Perennial Modern Classics Deluxe Edition (US)","294","Harper Perennial Modern Classics","10/28/06","01/28/63","[]","591175","['215731', '217154', '117286', '30249', '10755']","93","['Boston, Massachusetts (United States)', 'New York City, New York (United States)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554582218l/6514._SY475_.jpg","351517","3860",""
"136251.Harry_Potter_and_the_Deathly_Hallows","Harry Potter and the Deathly Hallows","Harry Potter #7","J.K. Rowling","4.62","Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.He will have to face his enemy in one final battle.--jkrowling.com","English","9780545010221","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']","['Sirius Black', 'Draco Malfoy', 'Ron Weasley', 'Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley', 'Severus Snape', 'Rubeus Hagrid', 'Lord Voldemort', 'Minerva McGonagall', 'Neville Longbottom', 'Fred Weasley', 'George Weasley', 'Percy Weasley', 'Ginny Weasley', 'Colin Creevey', 'Filius Flitwick', 'Lucius Malfoy', 'Pomona Sprout', 'Arthur Weasley', 'Molly Weasley', 'Cho Chang', 'Remus Lupin', 'Sybil Trelawney', 'Peter Pettigrew', 'Oliver Wood', 'Fleur Delacour', 'Viktor Krum', 'Bellatrix Lestrange', 'Alastor Moody', 'Bill Weasley', 'Luna Lovegood', 'Nymphadora Tonks', 'Dolores Umbridge', 'Dobby', 'Kingsley Shacklebolt', 'Padma Patil', 'Parvati Patil', 'Kreacher', 'Narcissa Malfoy', 'Horace Slughorn', 'Rufus Scrimgeour', 'Dean Thomas', 'Aberforth Dumbledore', 'James Potter', 'Lily Potter', 'Xenophilius Lovegood', 'Seamus Finnigan', 'Garrick Ollivander', 'Katie Bell', 'Griphook', 'James Sirius Potter', 'Teddy Lupin', 'Hugo Weasley', 'Albus Dumbledore', 'Lily Luna Potter', 'Albus Severus Potter', 'Rose Weasley', 'Harry Potter', 'Hermione Granger', 'Lavender Brown']","Hardcover","First American Edition","759","Arthur A. Levine Books / Scholastic Inc.","07/21/07","","['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Puddly Award for Fiction (2008)', 'Andre Norton Award (2007)', 'Carnegie Medal Nominee (2008)']","2811637","['2038930', '552014', '161906', '35042', '23745']","98","['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Pagford (United Kingdom)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SY475_.jpg","351347","3835",2.85
"332613.One_Flew_Over_the_Cuckoo_s_Nest","One Flew Over the Cuckoo's Nest","","Ken Kesey","4.19","Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates. His struggle is seen through the eyes of Chief Bromden, a seemingly mute half-Indian patient who understands McMurphy's heroic attempt to do battle with the powers that keep them imprisoned. Ken Kesey's extraordinary first novel is an exuberant, ribald and devastatingly honest portrayal of the boundaries between sanity and madness.","English","9999999999999","['Classics', 'Fiction', 'Literature', 'Psychology', 'Novels', 'School', 'Mental Health', 'American', 'Mental Illness', 'Contemporary']","['Chief Bromden', 'Randle Patrick McMurphy', 'Nurse Ratched', 'William ""Billy"" Bibbit', 'Charles Cheswick', 'Dale Harding', 'Doctor Spivey', 'Bruce Fredrickson', 'James ""Jim"" Sefelt', 'Scanlon', 'Martini']","Mass Market Paperback","US / CAN","325","Signet","02/01/63","10/28/62","[]","630948","['277909', '232001', '93436', '19835', '7767']","96","['Oregon (United States)', 'Salem, Oregon (United States)', 'United States of America']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014l/332613._SX318_.jpg","350693","3973",""
"15823480-anna-karenina","Anna Karenina","","Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)","4.05","Acclaimed by many as the world's greatest novel, Anna Karenina provides a vast panorama of contemporary life in Russia and of humanity in general. In it Tolstoy uses his intense imaginative insight to create some of the most memorable characters in all of literature. Anna is a sophisticated woman who abandons her empty existence as the wife of Karenin and turns to Count Vronsky to fulfil her passionate nature - with tragic consequences. Levin is a reflection of Tolstoy himself, often expressing the author's own views and convictions.Throughout, Tolstoy points no moral, merely inviting us not to judge but to watch. As Rosemary Edmonds comments, 'He leaves the shifting patterns of the kaleidoscope to bring home the meaning of the brooding words following the title, 'Vengeance is mine, and I will repay.","English","9999999999999","['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Literature', 'Russian Literature', 'Novels', '19th Century', 'Classic Literature']","['Princess Ekaterina ""Kitty"" Aleksandrovna Shcherbatskaya', 'Anna Arkadyevna Karenina', 'Count Aleksei Kirillovich Vronsky', 'Konstantin ""Kostya"" Dmitrievitch Levin', 'Prince Stepan ""Stiva"" Arkadyevitch Oblonsky']","Paperback","Movie Tie-In Edition","964","Vintage","10/16/12","10/28/77","['PEN Translation Prize for Richard Pevear & Larissa Volokhonsky (2002)']","681953","['283318', '223682', '120596', '36847', '17510']","92","['Russia']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601352433l/15823480._SY475_.jpg","348162","3815",""
"10964.Outlander","Outlander","Outlander #1","Diana Gabaldon (Goodreads Author)","4.23","The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desire—and between two vastly different men in two irreconcilable lives.","English","9780440242949","['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance', 'Adult', 'Audiobook', 'Scotland']","['Jamie Fraser', 'Ian Murray', 'Claire Randall Fraser', 'Jonathan Randall', 'Dougal MacKenzie', 'Colum MacKenzie', 'Geillis Duncan', 'Jenny Murray', 'Frank Randall', 'Laoghaire MacKenzie', 'Murtagh Fraser']","Mass Market Paperback","","850","Dell Publishing Company","07/26/05","06/01/91","['RITA Award by Romance Writers of America for Best Romance of 1991 & nominee for Best First Book & nominee for Single Title Historical Romance (1992)', 'Puddly Award for Romance (2001)']","824014","['449748', '207613', '100271', '37903', '28479']","92","['Lallybroch, Scotland (United Kingdom)', 'Scottish Highlands', 'Inverness, Scotland', 'Scotland']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012l/10964._SY475_.jpg","342024","3661",5.98
"10917.My_Sister_s_Keeper","My Sister's Keeper","","Jodi Picoult (Goodreads Author)","4.08","Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate—a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.A provocative novel that raises some important ethical issues, My Sister's Keeper is the story of one family's struggle for survival at all human costs and a stunning parable for all time.","English","9780743454537","['Fiction', 'Contemporary', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Family', 'Novels']","['Anna Fitzgerald', 'Sara Fitzgerald', 'Kate Fitzgerald', 'Brian Fitzgerald', 'Jesse Fitzgerald', 'Campbell Alexander', 'Julia Romana']","Paperback","","423","Washington Square Press","02/01/05","04/06/04","['Audie Award for Multi-Voiced Performance (2005)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2007)"", 'ALA Alex Award (2005)', 'Lincoln Award (2006)', 'Green Mountain Book Award (2007)', 'Missouri Gateway Readers Award Nominee (2007)']","1056676","['427622', '372358', '188107', '48599', '19990']","94","['United States of America', 'Providence, Rhode Island (United States)', 'Rhode Island (United States)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683l/10917.jpg","340746","3751",2.76
"39988.Matilda","Matilda","","Roald Dahl, Quentin Blake (Illustrator)","4.32","Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world. For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""The"") Trunchbull, a former hammer-throwing champion who flings children at will and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge.She warms up with some practical jokes aimed at her hapless parents, but the true test comes when she rallies in defense of her teacher, the sweet Miss Honey, against the diabolical Trunchbull. There is never any doubt that Matilda will carry the day. Even so, this wonderful story is far from predictable. Roald Dahl, while keeping the plot moving imaginatively, also has an unerring ear for emotional truth. The reader cares about Matilda because in addition to all her other gifts, she has real feelings.","English","9780141301068","['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Humor', 'Audiobook', 'Magic', 'Juvenile']","['Matilda Wormwood', 'Miss Honey', 'Miss Trunchbull']","Paperback","","240","Puffin Books","06/01/98","10/01/88","['Odyssey Award Nominee (2014)', 'Prijs van de Nederlandse Kinderjury for 10-12 jaar en 13-16 jaar (1989)', ""Audie Award for Children's Titles Ages 8-12 (2014)"", 'Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1990), Younger Readers (1997) (1990)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1989)"", ""Blue Peter Book Award for Voter's Award - Book that Made Me Laugh the Loudest (2000)"", ""Red House Children's Book Award (1989)"", 'Maryland Black-Eyed Susan Book Award for Book Award (1992)', ""Massachusetts Children's Book Award (1992)"", ""Nevada Young Readers' Award for Intermediate Category  (1992)"", ""Beehive Book Award for Children's Fiction (1991)"", 'Indian Paintbrush Book Award (1991)', 'Bluestem Book Award Nominee (2016)', ""Virginia Reader's Choice for Elementary (1990)"", ""Rebecca Caudill Young Readers' Book Award (1991)""]","647667","['340257', '203271', '82637', '14606', '6896']","97","['United Kingdom']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388793265l/39988.jpg","339882","3789",6.01
"3263607-the-fellowship-of-the-ring","The Fellowship of the Ring","The Lord of the Rings #1","J.R.R. Tolkien","4.36","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.","English","9780345015339","['Classics', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy', 'Young Adult', 'Novels', 'Magic', 'Literature', 'Audiobook']","['Frodo Baggins', 'Meriadoc Brandybuck', 'Peregrin Took', 'Gandalf', 'Aragorn', 'Gimli', 'Boromir', 'Bilbo Baggins', 'Tom Bombadil', 'Rúmil', 'Saruman', 'Elrond Half-elven', 'Arwen Undómiel', 'Galadriel', 'Gollum', 'Goldberry', 'Legolas', 'Sam Gamgee']","Mass Market Paperback","","527","Ballantine Books","03/28/73","07/29/54","['Publieksprijs voor het Nederlandse Boek Nominee (2002)']","2355237","['1378340', '616196', '244984', '67680', '48037']","95","['Middle-earth']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486871542l/3263607._SY475_.jpg","339244","3820",""
"2429135.The_Girl_with_the_Dragon_Tattoo","The Girl with the Dragon Tattoo","Millennium #1","Stieg Larsson, Reg Keeland (Translator)","4.14","Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.An international publishing sensation, Stieg Larsson’s The Girl with the Dragon Tattoo combines murder mystery, family saga, love story, and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel.Alternate Cover Edition ISBN 0307269752 (ISBN13: 9780307269751)","English","9999999999999","['Fiction', 'Mystery', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Sweden', 'Thriller', 'Audiobook', 'Crime']","['Lisbeth Salander', 'Mikael Blomkvist', 'Erika Berger', 'Dragan Armansky', 'Henrik Vanger', 'Martin Vanger', 'Cecilia Vanger', 'Hans-Erik Wennerström', 'Harriet Vanger', 'Holger Palmgren', 'Nils Bjurman', 'Anita Vanger', 'Birger Vanger', 'Dirch Frode', 'Christer Malm', 'Gustaf Morell', 'Isabella Vanger', 'Gottfried Vanger', 'Jan Köbin']","Hardcover","1st edition","465","Knopf","09/16/08","08/28/05","['Barry Award for Mystery/Crime Novel Of The Decade (2010)', 'Macavity Award for Best First Mystery Novel (2009)', 'Anthony Award for Best First Novel (2009)', 'Glass Key Award (2006)', 'CWA International Dagger Nominee (2008)', 'Galaxy British Book Awards for Crime Thriller of the Year (2009)', 'Exclusive Books Boeke Prize (2008)', 'Strand Critics Award  Nominee for Best First Novel (2008)']","2607860","['1181014', '872820', '365843', '109806', '78377']","93","['Stockholm (Sweden)', 'Hedeby Island (Sweden)', 'Hedestad, Stockholm (Sweden)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135.jpg","338469","3781",""
"17899948-rebecca","Rebecca","","Daphne du Maurier","4.23","Last night I dreamt I went to Manderley again . . .The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their lives--presenting her with a lingering evil that threatens to destroy their marriage from beyond the grave.","English","9780316323703","['Classics', 'Fiction', 'Mystery', 'Romance', 'Gothic', 'Historical Fiction', 'Thriller', 'Suspense', 'Mystery Thriller', 'Adult']","['Maxim de Winter', 'Mrs. Danvers', 'the second Mrs. de Winter', 'Rebecca de Winter', 'Frank Crowley', 'Jack Favell', 'Beatrice Lacy', 'Giles Lacy']","ebook","","449","Little, Brown and Company","12/17/13","08/28/38","['National Book Award for Fiction (1938)', 'Anthony Award for Best Novel of the Century (2000)']","450276","['213838', '152839', '63383', '14209', '6007']","96","['Monte Carlo (Monaco)', 'Cornwall, England']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948.jpg","332533","3736",""
"40961427-1984","1984","","George Orwell","4.19","Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life—the ubiquity of television, the distortion of the language—and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.","English","B003JTHWKU","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']","['Winston Smith', 'Big Brother', ""O'Brien"", 'Emmanuel Goldstein', 'Tom Parsons', 'Syme', 'Julia']","Kindle Edition","","237","Houghton Mifflin Harcourt","09/03/13","06/08/49","['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']","3140442","['1474277', '1025880', '453693', '121946', '64646']","94","['London, England', 'England', 'United Kingdom']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX318_.jpg","324371","3544",""
"52892857-the-color-purple","The Color Purple","The Color Purple Collection #1","Alice Walker","4.22","Winner of the Pulitzer Prize and the National Book Award. Alice Walker's iconic modern classic is now a Penguin Book.A powerful cultural touchstone of modern American literature, The Color Purple depicts the lives of African American women in early twentieth-century rural Georgia. Separated as girls, sisters Celie and Nettie sustain their loyalty to and hope in each other across time, distance and silence. Through a series of letters spanning twenty years, first from Celie to God, then the sisters to each other despite the unknown, the novel draws readers into its rich and memorable portrayals of Celie, Nettie, Shug Avery and Sofia and their experience. The Color Purple broke the silence around domestic and sexual abuse, narrating the lives of women through their pain and struggle, companionship and growth, resilience and bravery. Deeply compassionate and beautifully imagined, Alice Walker's epic carries readers on a spirit-affirming journey towards redemption and love.","English","9780143135692","['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'Historical', 'LGBT', 'African American', 'Literature', 'Novels', 'Adult']","['Nettie', 'Albert', 'Celie', 'Shug Avery', 'Miss Millie']","Paperback","","304","Penguin Books","12/10/19","10/28/82","['Pulitzer Prize for Fiction (1983)', 'National Book Award for Fiction (Hardcover) (1983)', 'National Book Critics Circle Award Nominee for Fiction (1982)', 'Townsend Prize for Fiction (1984)']","521200","['244193', '179134', '74068', '16614', '7191']","95","['Georgia (United States)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572261616l/52892857._SX318_SY475_.jpg","319385","3631",13.75
"14891.A_Tree_Grows_in_Brooklyn","A Tree Grows in Brooklyn","","Betty Smith","4.27","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.","English","9780061120077","['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'Literature', 'New York', 'Novels', 'Book Club']","['Francie Nolan', 'Neeley Nolan', 'Katie Nolan', 'Johnny Nolan', 'Mary Rommely', 'Sissy Rommely', 'Eva ""Evy"" Rommely Flittman', 'Thomas Rommely', 'Sergeant McShane']","Paperback","Deckle Page Edition","496","HarperCollins Publishers","05/30/06","08/18/43","['Audie Award for Classic (2002)']","388454","['192536', '128033', '51805', '11410', '4670']","96","['Williamsburg, Brooklyn, New York (United States)', 'New York City, New York (United States)', 'United States of America', 'New York State (United States)']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484l/14891.jpg","309492","3407",5.01
"41817486-a-clockwork-orange","A Clockwork Orange","","Anthony Burgess","3.99","In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, A Clockwork Orange is a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”","English","9780393341768","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Horror', 'Thriller', 'Crime', 'Modern Classics']","['Pete', 'Alex Jacobi', 'Georgie', 'Dim']","Paperback","","240","W. W. Norton & Company","05/21/19","10/28/62","['Prometheus Hall of Fame Award (2008)']","601048","['225177', '216256', '108731', '31645', '19239']","92","['England']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060l/41817486.jpg","302942","3413",13.05
"6288.The_Road","The Road","","Cormac McCarthy","3.97","A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.The Road is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, “each the other’s world entire,” are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.","English","9780307265432","['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature', 'Novels', 'Apocalyptic', 'Contemporary']","['The man', 'The boy']","Hardcover","First U.S. Edition","241","Alfred A. Knopf","10/02/06","09/26/06","['Pulitzer Prize for Fiction (2007)', 'Locus Award Nominee for Best SF Novel (2007)', 'James Tait Black Memorial Prize for Fiction (2006)', 'The Quill Award for General Fiction (2007)', 'Puddly Award for Fiction (2010)', 'National Book Critics Circle Award Nominee for Fiction (2006)', 'Believer Book Award (2006)', 'Tähtivaeltaja Award (2009)', 'Cena Akademie SFFH for Kniha roku (Book of the Year) (2008)', 'Prix des libraires du Québec for Lauréats hors Québec (2009)', 'International Dublin Literary Award Nominee (2008)', 'The Rooster -- The Morning News Tournament of Books (2007)']","716197","['271747', '245274', '128293', '45727', '25156']","90","['United States of America']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424l/6288.jpg","300848","3299",6.83
"4934.The_Brothers_Karamazov","The Brothers Karamazov","The Brothers Karamazov #1-4","Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)","4.32","The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.This award-winning translation by Richard Pevear and Larissa Volokhonsky remains true to the verbalinventiveness of Dostoevsky’s prose, preserving the multiple voices, the humor, and the surprising modernity of the original. It is an achievement worthy of Dostoevsky’s last and greatest novel.","English","9780374528379","['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', '19th Century', 'Classic Literature', 'Religion']","['Dmitri Fyodorovich Karamazov', 'Ivan Fyodorovich Karamazov', 'Alexei Fyodorovich Karamazov', 'Pavel Smerdyakov', 'Agrafena Alexandrovna Svetlova', 'Katerina Ivanovna Verkhovtseva', 'Fyodor Pavlovich Karamazov', 'Father Zosima, the Elder', 'Ilyusha', 'Nikolai Krassotkin']","Paperback","","796","Farrar, Straus and Giroux","06/14/02","11/18/79","[]","243271","['134077', '68234', '29317', '7980', '3663']","95","['Russia']","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126l/4934.jpg","299610","3312",5.51
